id (N) (P),bio (T),cost (N),university (T)
100690,Chance poor family.,34890,Force mind natural.
282769,Plan find race.,5855,Church yeah check.
396273,Nothing every.,44900,Compare save ask.
343491,Yourself kid.,41067,Usually job too.
343874,Ask detail day bank.,38264,Data assume big.
212202,Position visit sign.,29155,Almost why Mrs win.
411738,Catch bank guess.,12323,Guy decision manage.
477453,Great reason.,32371,Behind certainly.
328526,Help expect next.,28304,Analysis notice.
213651,Example citizen.,42854,Direction laugh.
477602,Relate hospital ok.,32218,Be from your.
67748,Though wait.,17428,Best later smile.
263013,Two act message.,3822,Office me card when.
377201,Carry lose firm Mr.,27482,Performance market.
402888,West generation.,12402,Personal today.
146759,Mention number.,30951,Down call member.
339523,Mind fine upon.,1222,Anything dog.
217022,Certainly sign form.,6332,Need recent another.
445697,Provide win final.,49257,Worker task live.
229567,Certainly the.,20432,Tend free meeting.
19736,Effort fine check.,2024,Various share.
350485,Enough service edge.,34471,School test that TV.
264909,Discuss alone.,27732,Major born help.
339811,Seek other bring.,46931,Animal several.
30807,Debate black school.,34558,Nearly because.
348930,Adult then board.,509,Recently line.
87754,Case option billion.,41944,Staff home eat.
301274,Structure.,29629,Member so will.
301457,Choose center once.,29184,Policy like be rich.
375849,Environment dinner.,4776,Training thank each.
309109,Sit well case same.,10055,Least decision buy.
228846,Various black trial.,34528,Call story heavy.
260493,Production our rate.,22216,Research add trip I.
330688,Church themselves.,37190,Now tough never.
220012,Upon dark member.,5034,Manage security.
79804,Top bar occur.,5392,About sometimes.
402289,To executive fund.,40221,Ahead image.
70945,Yeah know our worry.,23250,Animal threat.
332066,Everything painting.,43327,Notice foreign plan.
340391,Card result center.,33439,Affect radio fund.
199067,Suddenly song like.,19194,South government.
89143,Many whom catch.,28409,Rock allow simply.
179522,Behavior board.,37425,General watch.
256240,Necessary station.,22894,Have major him.
236265,Perform ten story.,47959,Which top challenge.
382577,Magazine both live.,38380,Research woman job.
433766,View role would.,30572,Increase list plant.
85198,Candidate before.,38994,Child I stay.
219419,Bar born consider.,37178,South kind member.
191652,West view until.,43077,Set fly yard term.
338213,Recognize customer.,18519,Majority director.
60786,Beautiful audience.,5975,Box base daughter.
56068,Claim guy affect.,45325,Anyone community.
434686,Which trade.,6619,Rule commercial.
355352,Same probably.,19184,Magazine power.
219001,Reduce yes learn.,12259,Increase miss idea.
185230,Less growth music.,12402,You build often.
371556,Require too eight.,25658,Trade decade not.
320882,Perform standard.,15705,Area live person.
240245,Me industry nation.,14606,Sport teacher large.
177370,Understand capital.,1309,Black read practice.
28519,Kind as sit rest.,28802,Air realize report.
17090,Quite sure field.,6545,Outside study.
116156,Edge either field.,16923,True red.
416435,Program final data.,25912,First necessary.
157965,Meeting president.,7898,Across choice.
159050,Bit American wonder.,33897,Another prepare.
181484,Anything effort.,3772,Last direction will.
286812,Everyone very star.,5223,Door chance reduce.
445827,Consider road space.,15685,Wife evening then.
435441,By although.,22534,Evidence officer.
49255,Art adult list.,41244,Avoid water become.
324956,Most behavior base.,27471,Risk subject.
475605,Anything today.,19143,Chance huge police.
47821,Kind benefit care.,43503,Cell field area.
498684,Tree subject.,22484,Gas help person.
184181,State how religious.,16703,Either attack serve.
427906,Every bring today.,27903,Claim really.
460985,Beyond style close.,11008,Work lay threat.
122965,Question bed here.,39267,Budget education.
48198,Life memory.,33250,Itself case follow.
411189,Price station.,26487,Full space always.
282478,As office alone.,335,Just result.
240161,Represent serve arm.,20060,Yourself write.
166827,Voice different.,45173,Team center.
302285,Power address all.,19892,Deep Mr everyone.
360111,Stuff ball wrong.,10470,Color country.
201269,Improve pull kind.,39240,Certainly church.
10910,Evidence yeah much.,48009,Program cut discuss.
89425,Who method.,6714,Recently together.
304567,Truth land hold.,33132,List candidate past.
188385,Understand feeling.,19615,Special always when.
489277,Establish coach.,40099,Huge particular.
319921,Before dog.,37390,Decade usually.
376099,Rest identify seem.,4702,Final lead.
436559,World few again.,5166,Floor arm draw.
159630,Something age turn.,3675,Need reflect effect.
226293,Inside position.,34120,Light this owner.
168266,Around actually.,12661,Cost cell mother.
495831,Record understand.,7078,Majority tend first.
207969,Theory they.,36572,Room continue.
202208,Threat chance.,22145,Move give carry.
7985,Case cup small use.,43076,Name ago campaign.
96199,Base citizen near.,40988,Water short machine.
438945,Structure none.,13394,Surface again.
490620,Decade everything.,40246,Cost watch interest.
418694,Country quickly.,7164,Maintain draw seek.
115923,Above paper crime.,21333,Simple company with.
119394,Skin design nice.,49788,Oil suggest exist.
357586,Include least fire.,49346,Official natural.
338246,Close whether.,36312,Stand major right.
339773,Form gun visit item.,23733,Need goal although.
352490,I first audience.,47850,Address vote argue.
354943,Audience relate.,32065,Eight store decade.
175315,Southern phone cut.,13384,Occur believe bank.
10534,Our imagine.,534,Computer big never.
260978,Direction total.,7717,Exactly add open.
170593,Civil one force all.,13016,Certainly represent.
175814,Rest question pay.,41143,Oil oil ball until.
391546,Song he foreign.,39907,Reason agent visit.
242591,Each job out drop.,12243,Know day statement.
397857,Bit institution try.,24336,Increase sort.
327760,Much around likely.,32415,Mrs out generation.
213764,Use into system.,26883,Also hundred.
43788,Allow finally.,4274,Treat catch your.
474450,Church paper son.,6066,Buy rock item talk.
190810,Summer attention.,25830,Job result director.
4746,Film red family.,2374,Plan agent go.
214176,Idea instead.,26325,Stuff color morning.
74255,Election everybody.,32831,So woman service.
189417,Protect off.,5200,Only involve series.
171012,Cup tough or agency.,17332,Interest when.
209381,Material or billion.,29978,Worker education.
179863,Enter although.,44405,Certainly.
278240,Affect response.,17444,Outside past south.
271561,Factor difficult.,9479,Total another.
88453,Condition ready box.,43207,Huge whom drop.
264131,One see child whole.,34921,On institution.
318183,Take foreign.,18372,None than go just.
444931,Thousand magazine.,40849,Entire then put.
14743,Air I generation.,27199,Remain standard.
7250,Particular.,41928,Them movie whether.
146955,Pattern interview.,36683,Stock past present.
171480,Thing doctor town.,22104,Animal home cause.
264558,About necessary.,32769,Ok work whether.
288999,Special lose loss.,12307,Keep without.
264697,Like work create.,26161,Nation seven future.
398012,Chance north few.,33022,Population hundred.
374444,Heavy mean standard.,34262,Onto if only idea.
91756,Garden either foot.,38796,Activity buy within.
309669,Woman pressure.,15683,Us natural college.
439446,Test interest close.,9288,New that main.
306385,Able professor less.,20893,Where as imagine.
39801,That money attorney.,10449,Table social return.
259649,Cell nothing good.,45371,Board stand.
206416,Leg listen choose.,7836,Charge city become.
74308,Song impact too.,30897,Important leave act.
221538,Which us beyond.,40172,Natural capital.
87213,Large source within.,22386,From half bit make.
133870,Spring never nor.,39660,Mrs course go blood.
4444,Ahead you reason.,25792,Production ok issue.
