id (N) (P),profit_margin (N),tax (N),phone_number (T),table_1_id (N)
245331,47571,46767,Add onto tonight.,374825
78192,19427,29798,Other with same new.,320103
331933,35504,23622,Part rock forward.,327377
296132,8731,44289,Enough figure call.,464232
128674,44719,42380,Security debate.,300462
334548,31964,8973,Specific her top.,483541
271103,15203,36387,Next right effect.,55558
89659,3394,10413,Each central child.,309470
200192,38707,22069,More size stay she.,69424
477418,20413,43975,Newspaper benefit.,321913
235868,18775,38819,Camera born level.,182943
342573,38457,47452,Major pretty.,197412
413692,5391,27868,Over opportunity.,98068
5260,36350,48992,Air book good field.,241234
457880,49283,46228,Bar long write leg.,388001
306892,44628,26391,Owner standard.,27192
494110,1000,30652,Party question.,62427
446449,2863,16601,Gun water city.,120032
120032,21873,37895,Technology where.,431978
131861,12871,3627,Think strong back.,226488
367189,30003,33144,Buy probably.,256290
206822,23402,34694,Sit contain second.,295711
119029,13979,19790,Prevent husband.,111483
48722,20419,8897,Goal call business.,274280
132691,9553,20391,Example central.,386327
297226,35564,30142,Best board discuss.,441987
134636,16691,31323,Against poor truth.,378721
367062,3765,14544,Stage energy.,164132
311786,2841,18020,Term with exist.,223427
434286,13088,1102,Hot positive may in.,180585
242679,30663,10955,Sell under expect.,90071
255841,39559,15827,Ask shake then tree.,454740
377871,35812,48510,Billion leg water.,358660
446904,2525,11928,Week common town.,201180
110053,23551,20732,Two student.,87016
416502,29804,7501,Newspaper challenge.,144009
405150,30970,21260,Watch involve ok.,365760
48874,42341,10778,Themselves other.,194651
176983,5976,49948,PM loss shake.,127537
334634,20604,19781,Father agreement.,348095
52711,12523,11339,Phone realize.,158607
264451,43376,11122,Inside behavior.,78272
416302,36505,22270,Fine conference.,455
296666,15698,40978,Play toward.,322606
488650,2449,12143,Available dark.,158766
177231,21565,6183,Address oil point.,303346
379737,43539,25855,Perform rule west.,143824
329870,24523,48710,North book but more.,55798
128988,5906,36614,Family benefit.,15554
278896,18936,40469,Area herself born.,409534
267696,20532,35401,Method interesting.,210126
203935,1449,25224,Cell because.,283050
116792,23887,17755,Remember gun.,62237
261657,34034,31379,Meet check after.,315535
424607,35678,4162,Want hotel recent.,267982
388251,22018,17411,Always be avoid.,36618
132621,18826,5985,Woman life walk.,3202
173321,5532,21026,Table thing relate.,463141
388063,43212,41134,Recent face after.,54971
186669,34814,14125,Area military have.,308566
291589,35252,8918,Other daughter.,229160
16821,2727,17448,Daughter yeah.,182336
485697,16248,47145,Line child today.,228780
375421,6743,9110,Research scientist.,190081
470731,10984,37146,Face until from own.,367682
211833,45206,36644,Exist may argue.,480252
382991,5628,43908,Animal speech.,239073
300870,31681,18069,Training successful.,312200
344080,6862,21906,Such these carry.,363749
66101,24097,7743,Turn meeting.,299356
294519,41011,39232,Part hold leave.,258485
439188,12804,33950,Book character.,393677
183742,20049,9935,Fund seem lay.,449401
8806,34000,8406,Everything campaign.,205067
476650,15755,20691,Meeting me.,79120
114936,45145,33954,There simple would.,329914
196115,5465,36796,Run ball analysis.,353985
305121,41765,23273,Listen cold.,215055
53630,47035,16757,Consider between.,370834
191849,15070,5827,Add image choice.,3366
365698,48433,910,Be magazine late.,178344
479384,12712,17202,List guess measure.,279069
265515,25820,28147,Future energy after.,441675
331215,25296,34152,Likely local rather.,104165
302737,44221,42315,Test itself protect.,288007
293422,1389,33685,Range sell without.,466059
45874,27901,33944,Fly economy.,369158
499857,32138,23950,Tax training oil.,1496
17790,32721,32830,Point kid hard true.,151
291201,16485,37457,Position option.,224967
138495,42124,12993,Center career seek.,96607
176372,19192,10884,Career glass voice.,133216
258390,19111,16675,Bag young ready.,314860
342521,42922,35755,Get kind on role.,167100
323499,10689,29752,Happy a great.,59367
292263,49502,42707,Ready see talk sign.,120965
467082,21025,20957,Save hot two.,39328
314651,17622,48130,Buy institution.,475467
330004,40822,40625,Player carry strong.,160110
386235,26452,21666,Very thus list deal.,82889
273113,46043,6317,Bad member once.,65173
159331,30294,10654,Difficult now.,66323
480690,2317,17183,Man sense far.,291750
258394,18400,27657,Similar nearly.,76770
471895,39904,25468,Always though.,120796
14386,27813,20728,Analysis focus.,282718
379699,23139,38043,Thing already.,279553
335967,9233,12752,Myself debate.,105543
453470,7950,49264,Piece senior poor.,448797
476237,20473,38092,Amount six during.,345100
64972,27114,24765,Less work magazine.,243139
412538,45980,19564,See find American.,498467
373703,16206,27520,Personal office.,66136
34159,39739,44039,Music car us then.,196050
255781,4975,39135,Contain dinner.,177504
429170,1829,10075,Plant season expert.,32986
474515,8797,8959,Carry property.,451243
399573,43730,32453,Painting sea factor.,417154
281629,40490,6863,Trouble want make.,217807
12581,39251,42615,Me agreement dark.,1944
376799,35815,44318,Wind design.,370160
377997,15154,11367,Law director.,145425
481244,17297,14241,Itself study sound.,11787
321278,2127,12504,Top house go.,93025
390366,19745,45402,Meeting read happen.,195169
159024,26335,1948,Reduce skin nation.,106327
299910,2426,44442,If record war.,293156
345358,34135,34296,East language.,310204
19530,38376,24682,Threat wind truth.,126645
412322,17268,47249,Occur position.,445536
259767,2125,10976,Security value yard.,494554
490718,37611,31747,Show practice.,182094
486270,34613,25262,Central ahead.,129077
371087,4791,2316,Develop between.,78095
4539,49755,2371,Use center lay.,375217
285559,33559,5467,Under how want.,461827
1864,41908,26126,Meet performance.,142056
135442,10907,4181,Use catch usually.,21257
172343,27704,11861,Girl property close.,217810
245006,5227,31317,Action development.,64136
134134,15652,13543,Billion long talk.,80085
306732,10884,13542,Nearly every.,128035
234734,48294,46592,Program PM raise.,39507
467135,48535,40481,Its technology half.,66819
241507,46658,33490,Air activity visit.,408218
18972,36316,37777,Identify friend kid.,265475
37077,20643,6792,Operation partner.,123596
263522,39304,18852,Degree treat only.,485796
411063,4150,36719,Behavior woman job.,204174
183353,32754,23123,Fly Congress sport.,193992
105301,4544,47729,Seek movie security.,325563
3205,40457,2916,Become worry.,211568
226992,10416,17002,Listen bill program.,454206
208251,14516,43727,Bring situation.,316509
376126,36057,6880,Deep yard have job.,422090
434303,26318,4085,I president lead.,376901
188321,13110,23934,Painting special.,173749
44056,66,18758,Suffer better sort.,23199
171979,18536,12706,Fast candidate.,101430
138385,27605,16828,Look family when.,209230
490713,15801,7406,Meet increase.,248707
465596,32095,43901,Hot just whole.,451124
448917,33943,30481,Piece idea reveal.,214181
259271,44766,37934,Together head.,33601
164774,27167,14875,Mr pay machine.,21576
395515,6787,18104,Tree vote agency.,158357
484261,17744,14873,Would billion agent.,288499
470366,14297,30105,Task computer.,319173
65653,26475,26949,Quality sit ball.,383936
218972,20165,22167,Weight program test.,187390
187471,13939,24269,To drug card.,108307
47863,9210,8672,Few try material.,197195
377792,45068,44176,Republican leave.,87286
51362,38435,36709,Determine ten.,251668
399296,395,16774,Feeling those.,96217
289330,20262,15192,This opportunity.,158680
240282,21099,48343,Ground huge not.,367935
138492,26942,12777,Bring view hundred.,148205
480433,8072,23103,Rock thus write art.,449425
455756,870,44549,Society ever hear.,350120
170087,9160,12576,Current really.,189872
498729,36583,1708,International all.,52284
48375,4534,48353,North single view.,14847
201549,40440,13618,Better line food up.,403473
233955,6476,24362,Away help high.,441675
5626,21480,17634,Court phone foot.,36397
72803,4807,17584,By close model.,222958
194244,28222,22225,Catch smile without.,366850
295639,40709,35951,Artist experience.,82786
457843,18557,6080,Action from discuss.,428298
385631,44893,14375,West card audience.,464212
250341,29337,2562,Somebody hold risk.,328473
234048,43424,40458,Professor black man.,201948
414704,28541,37418,Appear kind garden.,174864
351298,1278,41498,Beat year skill.,392129
241850,8782,11703,Attack career call.,365420
303115,21663,35381,Forward until.,484436
96187,21283,19803,Hit accept hospital.,108459
9380,14656,787,Artist election.,19100
164303,13722,2649,Security firm town.,145868
136414,46363,21961,Everyone huge.,211958
360321,40966,5158,Form like whole.,430103
164426,3289,38392,Bad suggest of.,439205
60426,47914,32397,Treat indeed.,297528
97575,9193,45528,Wife race against.,333474
495580,24475,29255,Suggest house.,457937
214311,28942,2287,Open officer final.,459325
358397,15099,7950,Sister see least.,426899
388550,22332,3876,Edge daughter.,10755
474303,13476,45318,Kid imagine gas.,268261
451147,35214,387,Unit or society.,332130
476959,24196,16578,Table time wrong.,246971
244501,12017,38780,Final question.,3471
49503,46885,25086,Lead morning.,28854
132895,5769,5296,Mind here matter my.,494691
61931,18945,26766,Whole rate well.,258950
2245,32802,29931,Top hundred bit.,334973
480826,49128,23634,Those treatment to.,52694
325903,33192,24796,Respond authority.,412161
472675,257,37440,Debate person.,233336
439735,21004,19456,Dream trade media.,427375
224646,33615,14899,Better central.,150519
267881,11605,34424,Ten usually artist.,467141
428247,12209,22521,Along trial sure.,24869
186158,44690,47619,Understand both.,153112
434061,9499,13893,Somebody what.,7777
272545,24964,5715,Cover this before.,126026
127204,14008,35819,To central far.,20492
450278,968,47022,Plant part minute.,188859
174983,6208,2969,Likely design can.,153023
340303,24172,19947,Report which agent.,47433
209494,48379,9155,Person end.,451792
273322,13794,20520,Business kitchen.,135805
206561,32634,913,Fine miss because.,17129
302871,19766,48542,Everything others.,187636
117032,29060,45504,Real smile wide.,251668
360254,21473,46696,Traditional nothing.,238546
173699,6245,43366,Similar near.,101910
377487,40816,33192,Sister cell make.,303068
281240,3012,9169,Father different.,266294
490488,16930,45998,Down discover.,263443
198037,21395,18827,Race guy character.,353002
183430,1879,40328,Under difference.,129778
123222,14777,7391,Entire difficult.,205731
280060,11732,42479,Hotel crime.,450796
321374,20201,28529,Since term wish yet.,435892
116201,7012,8192,Other picture car.,229363
243603,13334,1003,Do available rate.,200945
147316,37641,22171,Yourself program.,319173
496344,15787,9118,Accept become.,349708
123372,43584,33696,Local control most.,231058
84831,48185,229,Although kind now.,79342
321702,14994,4772,Enough behind food.,409340
210246,44213,3510,My need decide.,139147
136448,45058,22378,Six either each six.,171657
490617,4217,41872,Hear weight those.,436394
271032,19159,17090,Room fund employee.,162997
262021,49151,4736,Simple approach nor.,188845
295377,1096,22623,Appear affect boy.,381930
115337,43133,3438,Magazine happy.,244600
137277,21178,32419,Audience answer.,237746
282596,3999,13633,Politics during.,160577
473383,13674,10458,Nature trial bar.,305673
182167,28066,15567,Senior wall short.,62110
494679,29110,2157,Sort southern.,149828
421419,23058,34582,Spring see lawyer.,110845
379605,8846,3098,Green second place.,151014
380771,26073,31988,Chance around ever.,390604
268759,48477,31319,Official real.,267315
497080,23073,13358,Long indicate whole.,185200
450318,8442,868,Home attack down.,253572
191529,10332,24595,Treat while eat.,323585
461707,9276,3466,Above wide stay.,230640
198198,48194,15986,Daughter as city.,227737
99722,6593,20879,Fish believe.,70066
432717,34354,5120,Southern within.,291340
293162,29212,11885,Hair school.,79670
288452,49871,22060,Speech garden.,339587
144346,49629,2286,Class my system.,316132
485143,15769,35814,Spend work focus.,375452
80813,25372,31416,President girl.,487101
283486,13447,29460,Skin floor easy can.,436923
25677,31320,29741,Matter hear could.,366126
255140,49195,21357,Become film end so.,1297
189315,4036,18492,Drop human staff.,225917
395774,13505,24170,Everything positive.,366227
88707,18010,36078,Pressure suggest.,321984
493007,10367,34126,Those where few.,437738
174813,22526,42900,Among paper simple.,45174
144232,9273,34447,Four will eat idea.,214676
185979,16064,24457,Billion often.,219677
210752,33156,45721,Exactly city full.,34013
271177,40365,5375,Person throughout.,71083
82394,38137,37449,Serious will.,208631
245172,32413,42589,Child election now.,70750
463910,29247,9812,Me performance.,233916
185139,88,10942,Hour ever anything.,287036
100636,5664,12893,Difference would.,499006
257572,13215,16636,Writer travel cover.,27308
370954,39072,46995,I local pull long.,480499
281102,12571,38662,Reduce health here.,219744
197338,26118,19644,Bad lay street west.,253856
196185,26473,34750,Back region no read.,168121
481323,29203,2663,Own reveal once.,351786
145137,32184,30603,Defense thought.,427033
59652,29540,47928,Admit give yeah.,198101
187730,14007,29797,Create different.,415141
331123,40903,33424,Also enjoy charge.,68533
354449,49098,35996,Stuff friend chair.,488705
54052,21267,18539,Structure back data.,206649
456617,17142,46550,Maintain inside.,75859
217246,20652,14386,Process recognize.,5596
451782,9390,21594,Seek industry avoid.,334312
260077,36413,49989,Mr seat some figure.,396827
138622,2290,24794,By increase listen.,81466
332543,21559,17132,Behind figure life.,258290
335338,40624,19678,Rate camera music.,138848
156487,8227,27828,Dog professional.,148104
165011,47791,4901,Technology example.,487941
358450,16387,28744,Raise whose.,251037
44173,14701,47086,Player man ok.,321258
325090,3026,42207,Where pay certainly.,121924
324616,25953,25259,Since ready would.,333792
276751,38683,12698,Several clear small.,175499
98200,29214,45765,Manager often full.,15364
292886,13972,49033,Themselves first.,236773
486989,7622,37350,Rate accept world.,185493
235330,15120,36317,Whom on born bill.,191850
283011,39087,42641,Drug truth wife.,222076
164459,27150,7378,Crime rule citizen.,394341
467077,7588,40736,Remain past around.,143141
36969,25719,9051,Night class health.,53248
421818,40272,18173,Piece effort what.,59780
270399,37928,46183,Discussion.,35280
179378,34879,27187,Draw including stop.,304923
283561,37957,39500,State air kitchen.,375077
59096,24116,10663,Drug product catch.,25884
493088,15090,27688,Music beautiful.,124898
438129,6867,45173,Hospital level.,129997
453823,30963,24688,Join low new.,382188
205897,19761,9497,Away hundred.,85131
451405,27775,11867,Unit meet support.,12075
202284,16063,19455,So focus.,232575
278619,14090,49523,Fight buy hotel.,47385
331923,14490,45255,Him upon cost.,279680
221768,27341,8668,Whatever as car.,132652
319654,647,28327,Apply key myself.,131769
409190,31286,38468,Positive interview.,490349
365412,42076,30334,Such market.,301221
402956,4159,13698,Throughout various.,147769
282429,39489,43314,Born cell dog.,140497
347907,39414,33996,Dream however body.,60990
381088,14647,4328,Police buy rule.,415037
412531,35544,10048,Suffer head indeed.,228711
15371,16868,15050,Ability occur.,112899
132398,29623,38634,Then deal herself.,477872
336368,16661,13357,Over vote.,96004
439337,32921,6053,Coach consider.,46506
246986,45424,36354,Key certainly.,85398
349693,2790,11687,Hear material.,58426
215799,28923,14905,Including increase.,91827
219773,38365,14442,Half travel wear.,447823
84666,22756,44764,Wrong only list.,19583
309820,44505,22038,Live three party.,81551
367649,33206,41625,Interview enter ten.,3383
141798,29643,46797,Visit city camera.,4385
193728,24129,7707,Lot nearly.,261477
170430,26504,1960,Probably despite.,93898
356852,35092,42502,Phone property.,16449
94841,37565,14184,Outside area out.,258950
149862,9128,44457,Whose news.,179433
160342,30613,6799,Later garden mouth.,358843
290906,3043,12853,Teach time garden.,14983
336177,28198,16580,Order beat watch.,444454
145790,43195,8551,Great film level.,377061
16222,41954,26225,Career company.,474944
219209,28889,42490,Later buy end deep.,407830
462248,35467,11801,Example second.,185818
153653,23854,34665,Fine air story.,109967
136025,47479,7280,Generation wife.,430412
40672,42895,416,Administration.,417347
149114,7878,3494,Lot probably.,459768
431376,33909,18523,Act finally loss.,206571
470103,25083,7347,Rich nation report.,144992
423585,630,41615,Agree return.,423730
259575,47300,18576,Hundred car hard.,106816
178621,49741,5158,Light agent improve.,148421
90232,23470,24598,Party realize.,46974
1358,26440,26240,Wrong improve.,229467
252175,36534,6338,Note above will.,105593
4567,10262,2484,Local box candidate.,62040
223972,34406,21561,Seven may at young.,62577
96448,11863,32250,Now car quality day.,250648
126102,11706,37988,Process happen.,202404
394806,7021,4416,Born itself home.,434708
132290,32398,30909,Anything thing term.,348107
330726,14973,3811,Physical would.,416054
55684,44718,33523,Scene nearly store.,25854
152124,15249,41956,Option side officer.,478995
118771,48841,22065,By fall degree.,375740
12547,28209,29899,Fire region class.,299690
397136,25523,8588,Another perform.,273402
47225,8369,15328,Stop so son present.,212045
429487,4888,3526,Sit relate allow.,145625
148845,16767,7897,Report large.,333080
52962,1924,23003,Economic future.,147105
181133,23666,27983,Participant impact.,198729
250184,1395,22064,Build partner carry.,439691
159260,48424,32566,Speak energy would.,113087
290577,46398,17767,Environment rather.,191684
149613,41044,33282,Read last way.,438710
316458,14920,20381,One professor house.,295362
284408,23577,28871,Let will name.,82203
123034,20413,41040,Always final.,475173
109020,9567,19084,This difference.,367663
68191,7784,29360,Describe success.,160284
358269,28966,40548,Leg administration.,282831
305570,28818,12805,Both finally often.,401466
166257,46559,1952,Without water.,334347
284309,4345,20416,Help both tend pick.,324558
470434,40173,41844,Eight rest.,202998
58510,18300,45345,Bill policy wall.,393763
274455,6929,8910,Wear day answer.,378836
78234,33403,8830,Important common.,19542
328952,12344,13803,Trip sometimes.,241791
278239,42748,5917,Somebody bag.,490900
109234,24099,12431,Mouth race drop.,151787
61629,7439,23484,Take cost thought.,332540
468302,27154,4524,Experience another.,416726
324997,48268,16281,Computer task.,312649
14017,19233,10187,Source theory gas.,281866
253990,28455,16938,Go difference thing.,429582
260642,12414,2395,Book style agree.,39479
146280,10381,29958,Huge you purpose.,105864
308963,41686,4212,Court child.,37135
312253,962,40472,Enjoy discuss.,496509
419165,5690,8797,Operation brother.,34047
21295,16459,30853,Concern would read.,291483
127823,39905,49209,Traditional our.,104889
44239,37117,11566,Law own eat sit.,298181
315930,42062,35740,Land card reflect.,37077
345720,45038,4731,Article Republican.,299905
103989,16128,2993,Future eat question.,400810
196286,42554,12653,Six another five.,353322
270292,3537,11921,Involve own pull.,82297
478369,22119,22776,Successful painting.,210326
314845,18058,192,Several exactly.,462583
144143,12376,8521,Will send own.,20908
455886,20438,45196,Toward entire green.,199245
81812,15380,49190,We agency true.,146522
316501,31011,29222,Soldier really.,326557
16242,23200,48328,Enter body act.,324818
297510,11425,40693,Red card reason.,398111
478442,19912,48700,Western south.,29823
431117,31572,48175,Voice affect.,16567
165132,25062,27512,Try speak side.,149044
111999,29515,17021,Glass wonder.,59752
145337,32665,35733,Conference deep.,268293
253009,1206,38207,Speech purpose.,417784
180450,41820,19008,Bring nature human.,255318
352818,20842,17499,Fish spend half up.,372929
127321,2956,33720,Lot enjoy source.,464087
474897,11833,1403,Well enjoy ground.,443743
84230,29125,36782,Worry pass create.,202744
397787,34612,27157,Group finally more.,330009
225273,22667,14357,Quickly nearly five.,142758
135042,30172,5148,Property early and.,69989
82102,41143,44203,Brother husband.,105122
96295,8774,8474,Face type another.,4793
228723,24772,16573,Structure act oil.,287596
140069,49060,27675,Benefit general.,43650
411948,36147,6685,Sea over large note.,272651
313239,26423,26057,War personal.,194762
118914,15934,46424,Audience picture.,300338
311588,11090,28083,Street especially.,259915
345815,2994,37977,Medical must air.,350120
466139,48547,48204,Hold visit science.,408477
482867,30792,42706,Special another.,492431
256919,43,45532,Around stand new.,422929
174977,32972,45673,Back to better.,162648
17038,36754,17973,Nearly six section.,120197
150594,34328,28957,Ball write simply.,115729
90031,46596,34154,Bank daughter huge.,223900
115554,151,4816,Indicate morning.,5616
294949,38511,3366,Direction speak.,59746
387203,49339,22310,During inside.,404152
